"highest_infection_count","location","population","infected_percentage"
13232,"Andorra",77265,17.12547725360771371300
97389,"Montenegro",628062,15.50627167381564240500
1630758,"Czechia",10708982,15.22794603632726247900
5066,"San Marino",33938,14.92722022511638870900
240292,"Slovenia",2078932,11.55843481172063347900
67205,"Luxembourg",625976,10.73603460835559190800
176934,"Bahrain",1701583,10.39819979395656867800
689557,"Serbia",6804596,10.13369493207238166700
32346971,"United States",331002647,9.77242064169958133300
838481,"Israel",8655541,9.68721654718058640100
973604,"Sweden",10099270,9.64034034143061825300
122019,"Estonia",1326539,9.19829722307448179100
247269,"Lithuania",2722291,9.08312153256209567600
1522973,"Netherlands",17134873,8.88814874787808465200
990229,"Belgium",11589616,8.54410534395617594200
364576,"Panama",4314768,8.44949253354989190600
5677835,"France",68147687,8.33166208561121084000
836493,"Portugal",10196707,8.20356022782649339600
332183,"Croatia",4105268,8.09162763551612221200
779348,"Hungary",9660350,8.06749237864052544700
310310,"Georgia",3989175,7.77880138123797527100
526578,"Lebanon",6825442,7.71492893793544799000
2926,"Liechtenstein",38137,7.67233919815402365200
659974,"Switzerland",8654618,7.62568607880786881600
3524077,"Spain",46754783,7.53736147165948775800
65233,"Cyprus",875899,7.44754817621666425000
2792142,"Poland",37846605,7.37752303013704928100
152367,"North Macedonia",2083380,7.31345217867119776500
216064,"Armenia",2963234,7.29149301067684833500
205652,"Qatar",2881060,7.13806723914114943800
382211,"Slovakia",5459643,7.00065920061073590300
711373,"Jordan",10203140,6.97209878527590526100
14659011,"Brazil",212559409,6.89643007052207225500
618870,"Austria",9006400,6.87144697104281399900
30292,"Malta",441539,6.86054912476587572100
4022653,"Italy",60461828,6.65321101439407356300
2977363,"Argentina",45195777,6.58770176691508146900
4432246,"United Kingdom",67886004,6.52895403889143335100
273991,"Kuwait",4270563,6.41580512920661748800
118558,"Latvia",1886202,6.28554099719966366300
1198245,"Chile",19116209,6.26821458166731698700
2454,"Monaco",39244,6.25318520028539394600
250837,"Moldova",4033963,6.21812842606637691000
198461,"Bosnia and Herzegovina",3280815,6.04913718085292831200
5873,"Seychelles",98340,5.97213748220459629900
404380,"Bulgaria",6948445,5.81971937606183829600
296462,"Palestine",5101416,5.81136688323398836700
4820591,"Turkey",84339067,5.71572720860191635700
198428,"Uruguay",3473727,5.71225084757668060800
2859724,"Colombia",50882884,5.62020816272914090300
29835,"Maldives",540542,5.51946009745773686400
1055265,"Romania",19237682,5.48540619394789871300
1799445,"Peru",32971846,5.45751972758819751900
103638,"Kosovo",1932774,5.36213752875400848700
520236,"United Arab Emirates",9890400,5.26000970638194613000
248870,"Ireland",4937796,5.04010291231148471900
250991,"Costa Rica",5094114,4.92707858520637739900
2124070,"Ukraine",43733759,4.85682010549333296500
131085,"Albania",2877800,4.55504204600736673800
251249,"Denmark",5792203,4.33771053949593962800
23882,"Cape Verde",555988,4.29541644783700367600
3405365,"Germany",83783945,4.06446008241793818600
279077,"Paraguay",7132530,3.91273503230971338400
358738,"Belarus",9449321,3.79644209356418307700
193253,"Oman",5106622,3.78436077704596110700
27,"Vatican",809,3.33745364647713226200
345033,"Greece",10423056,3.31028634979990513300
4750755,"Russia",145934460,3.25540314467193012500
1228367,"Canada",37742157,3.25462850467184480200
12668,"Belize",397621,3.18594842827717851900
319109,"Azerbaijan",10139175,3.14728762448621312900
2499077,"Iran",83992953,2.97534127654733129800
1581210,"South Africa",59308690,2.66606799104819209500
10453,"Bahamas",393248,2.65811904955651395600
1065199,"Iraq",40222503,2.64826631997516415100
309119,"Tunisia",11818618,2.61552577467179326700
303732,"Bolivia",11673029,2.60199816174533619300
177508,"Libya",6871287,2.58332973138802090500
4552,"Saint Lucia",183629,2.47891128307620256100
266561,"Dominican Republic",10847904,2.45725810257907887100
381862,"Ecuador",17643060,2.16437511406751436500
212333,"Honduras",9904608,2.14377994565761714100
112970,"Norway",5421242,2.08383982858540533700
375539,"Kazakhstan",18776707,2.00002588313275591900
46934,"Botswana",2351625,1.99581140700579386600
48351,"Namibia",2540916,1.90289643577355567800
6472,"Iceland",341250,1.89655677655677655700
2344755,"Mexico",128932753,1.81858755470768548600
10363,"Suriname",586634,1.76651881752506673700
13283,"Guyana",786559,1.68874807865652799100
1864,"Saint Vincent and the Grenadines",110947,1.68008148034647173900
18458,"Eswatini",1160164,1.59098196461879527400
86808,"Finland",5540718,1.56672835542252827200
45578,"Jamaica",2961161,1.53919357981548453500
95275,"Kyrgyzstan",6524191,1.46033431577953496500
19164969,"India",1380004385,1.38876145672537120200
511249,"Morocco",36910558,1.38510233305061386500
3855,"Barbados",287371,1.34147147763692230600
227671,"Guatemala",17915567,1.27079985802291381600
408713,"Malaysia",32365998,1.26278509935025022200
1232,"Antigua and Barbuda",97928,1.25806715137652152600
417363,"Saudi Arabia",34813867,1.19884125483675800800
37285,"Mongolia",3278292,1.13733004869608930500
11100,"Djibouti",988002,1.12347950712650379300
323187,"Nepal",29136808,1.10920523620844122700
69198,"El Salvador",6486201,1.06684945471162549500
2302,"Sao Tome and Principe",219161,1.05036936316224145700
61145,"Singapore",5850343,1.04515239533818786400
23075,"Gabon",2225728,1.03673943985967737300
1037460,"Philippines",109581085,0.94675098352968489000
106707,"Cuba",11326616,0.94209073566191349600
10824,"Trinidad and Tobago",1399491,0.77342405203034531800
197683,"Venezuela",28435943,0.69518707362720483700
1668368,"Indonesia",273523621,0.60995390229935571100
7694,"Equatorial Guinea",1402985,0.54840215682990195900
108146,"Sri Lanka",21413250,0.50504243867698737900
10731,"Lesotho",2142252,0.50092146022036623100
91586,"Zambia",18383956,0.49818439513236432900
593264,"Japan",126476458,0.46907069456356850200
759132,"Bangladesh",164689383,0.46094774670447335400
3834,"Comoros",869595,0.44089489934969727300
18402,"Mauritania",4649660,0.39577087356925022500
825519,"Pakistan",220892331,0.37372008175331356300
92562,"Ghana",31072945,0.29788615144139057300
159318,"Kenya",53771300,0.29628816859551470800
122108,"Algeria",43851043,0.27846087948238768200
72250,"Cameroon",26545864,0.27217045939811942100
90808,"Uzbekistan",33469199,0.27131811550076235800
142817,"Myanmar",54409794,0.26248399323107159700
38257,"Zimbabwe",14862927,0.25739882864256818300
5898,"Gambia",2416664,0.24405544171634948000
174,"Dominica",71991,0.24169687877651373100
40344,"Senegal",16743930,0.24094701781481408500
122634,"South Korea",51269183,0.23919632189184680400
257442,"Ethiopia",114963583,0.22393352162658326300
69917,"Mozambique",31255435,0.22369549487953055200
227552,"Egypt",102334403,0.22236119362517803500
25116,"Rwanda",12952209,0.19391286845355877100
10678,"Congo",5518092,0.19350891576291225300
3734,"Guinea-Bissau",1967998,0.18973596517882640100
34078,"Malawi",19129955,0.17813946765687634900
46036,"Cote d'Ivoire",26378275,0.17452240527479526200
2276,"Timor",1318442,0.17262799577076579800
22215,"Guinea",13132792,0.16915671854088605100
12967,"Togo",8278737,0.15663017196946829000
59745,"Afghanistan",38928341,0.15347430295064462200
160,"Grenada",112519,0.14219820652512020200
13308,"Tajikistan",9537642,0.13953134328170422000
1074,"Bhutan",771612,0.13918912614111755600
37014,"Madagascar",27691019,0.13366788705031042700
